Age,M,M var,MAA,MAA var,F,F var,FAA,FAA var,,,
6,6.63,0.9,7.17,0.93,6.53,0.86,6.24,1.48,,,
7,6.18,0.72,6.21,0.8,6.25,0.87,6.4,1.25,,,
8,5.92,0.98,5.75,0.85,5.99,1.05,6.05,1.17,,,
9,5.63,1.02,5.4,0.93,5.86,1.23,6.76,1.58,,,
10,5.49,1.18,5.64,1.33,6.26,1.44,6.81,1.8,,,
11,5.57,1.53,6.39,1.94,6.65,1.55,6.87,1.81,,,
12,6.49,2.08,6.89,2.7,6.11,1.83,5.55,2.29,,,
13,7.66,2.4,7.47,2.33,4.54,2.28,2.59,1.67,,,
14,6.81,2.4,6.21,2.69,2.56,1.93,1.49,1.57,,,
15,4.51,2.62,4.11,2.57,1.24,1.22,0.38,0.71,,,
16,2.66,2.18,2.06,1.69,0.66,1.03,0.53,0.75,,,
17,1.13,1.33,0.93,1,0.34,0.62,0.25,0.6,,,
18,0.48,0.56,0.4,0.55,,,,,,,
